split,model,calibrated,group_col,group,n,prevalence,brier,ece,auroc,auprc
iid,kmer_metadata_logreg,False,tf_family,gata,156.0,0.21153846153846154,0.19424649799915975,0.19828088288683846,0.7849223946784922,0.5704807053957455
iid,kmer_metadata_logreg,False,tf_family,nuclear_receptor,162.0,0.17901234567901234,0.1845328644527607,0.18260376380102206,0.8032149338864403,0.4993134460597881
iid,kmer_metadata_logreg,False,tf_family,zinc_finger,303.0,0.21782178217821782,0.1424163783832598,0.12175553283569432,0.8805140007671654,0.7051613388368316
iid,kmer_metadata_logreg,True,assay,CUT&RUN,295.0,0.19322033898305085,0.18543598792134974,0.15270770428899225,0.3968008255933953,0.15829671110554666
iid,kmer_metadata_logreg,True,assay,CUT&Tag,164.0,0.16463414634146342,0.13313579083821553,0.04629591200878102,0.6612597999459313,0.3031813932090851
iid,kmer_metadata_logreg,True,assay,TF ChIP-seq,741.0,0.20647773279352227,0.1074207196755235,0.08637693896929992,0.9059512693966476,0.7503759896597589
iid,kmer_metadata_logreg,True,lab,EpiCypher,164.0,0.16463414634146342,0.13313579083821553,0.04629591200878102,0.6612597999459313,0.3031813932090851
iid,kmer_metadata_logreg,True,lab,Henikoff,295.0,0.19322033898305085,0.18543598792134974,0.15270770428899225,0.3968008255933953,0.15829671110554666
iid,kmer_metadata_logreg,True,lab,"John Stamatoyannopoulos, UW",378.0,0.21428571428571427,0.10944138721788635,0.10440942329768567,0.9172797938230036,0.7783130751320119
iid,kmer_metadata_logreg,True,lab,"Michael Snyder, Stanford",363.0,0.19834710743801653,0.10531655347438533,0.09183123148367273,0.8983867888507063,0.7292940149599084
iid,kmer_metadata_logreg,True,species,Homo sapiens,937.0,0.19316969050160085,0.12789279704021936,0.02795340431311311,0.7671226870121898,0.5070287115743626
iid,kmer_metadata_logreg,True,species,Mus musculus,263.0,0.21292775665399238,0.1380269528028247,0.06930688586888573,0.7848516218081435,0.5230537870902824
iid,kmer_metadata_logreg,True,tf_family,bhlh,130.0,0.16923076923076924,0.14413315865480367,0.05713748405408626,0.6161616161616161,0.23627908895256824
iid,kmer_metadata_logreg,True,tf_family,bzip,151.0,0.17880794701986755,0.13103013076959644,0.060670475759168785,0.7084826762246117,0.41491773672382387
iid,kmer_metadata_logreg,True,tf_family,ets,158.0,0.18354430379746836,0.14002785363781317,0.08256897002920642,0.6666666666666666,0.38224948717153423
iid,kmer_metadata_logreg,True,tf_family,forkhead,140.0,0.22142857142857142,0.144416856205632,0.04377246729953548,0.7357206274045575,0.5686199209164039
iid,kmer_metadata_logreg,True,tf_family,gata,156.0,0.21153846153846154,0.13471006345636033,0.06331909835673404,0.7849223946784922,0.5704807053957455
iid,kmer_metadata_logreg,True,tf_family,nuclear_receptor,162.0,0.17901234567901234,0.11814495367575666,0.051007625521888526,0.8032149338864403,0.4993134460597881
iid,kmer_metadata_logreg,True,tf_family,zinc_finger,303.0,0.21782178217821782,0.11589691717579917,0.06745390104888298,0.8805140007671654,0.7051613388368316
assay_heldout_cutrun,gc_artifact_logreg,False,assay,CUT&RUN,1381.0,0.18971759594496743,0.6035436326435438,0.7206933438848526,0.010166178908376487,0.10474058383785068
assay_heldout_cutrun,gc_artifact_logreg,False,lab,Henikoff,1381.0,0.18971759594496743,0.6035436326435438,0.7206933438848526,0.010166178908376487,0.10474058383785068
assay_heldout_cutrun,gc_artifact_logreg,False,species,Homo sapiens,1058.0,0.19754253308128544,0.6368487464761692,0.7572883525369487,0.0056328582458394635,0.10938570115747581
assay_heldout_cutrun,gc_artifact_logreg,False,species,Mus musculus,323.0,0.16408668730650156,0.4944513402753777,0.6543834407555008,0.006743535988819001,0.0911722153268151
assay_heldout_cutrun,gc_artifact_logreg,False,tf_family,bhlh,154.0,0.17532467532467533,0.6003168164997507,0.7356945146316464,0.010207057451151944,0.10005518006838254
assay_heldout_cutrun,gc_artifact_logreg,False,tf_family,bzip,189.0,0.20105820105820105,0.6316787232808492,0.7524233048050561,0.009933774834437092,0.11306843816958059
assay_heldout_cutrun,gc_artifact_logreg,False,tf_family,ets,156.0,0.20512820512820512,0.5708174696260175,0.7084538149294998,0.020035282258064516,0.11711643532126018
assay_heldout_cutrun,gc_artifact_logreg,False,tf_family,forkhead,147.0,0.21768707482993196,0.6017687650346281,0.7162907406138925,0.014402173913043471,0.12473772198408094
