split,split_type,holdout,model,calibrated,metric,estimate,ci_low,ci_high,n_bootstrap,valid_bootstraps,confidence
iid,iid,,axis_guard_cnn,True,brier,0.16827938238160936,0.1560333932885664,0.1757166293350047,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",gc_artifact_logreg,False,auprc,0.5884823539873894,0.5576412073058993,0.6154793807096703,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",gc_artifact_logreg,False,auroc,0.6660375,0.6423916786380038,0.684340747070198,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",gc_artifact_logreg,False,ece,0.11519409656831643,0.09674279243719917,0.1365471974334802,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",gc_artifact_logreg,False,brier,0.23743587228175034,0.23221870364272254,0.24312139788015463,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",gc_artifact_logreg,True,auprc,0.5884823539873894,0.5631150503091558,0.6234063522956922,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",gc_artifact_logreg,True,auroc,0.6660375,0.6430528267929051,0.690612971658057,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",gc_artifact_logreg,True,ece,0.11583874749764665,0.0993230216687503,0.13435878195756198,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",gc_artifact_logreg,True,brier,0.23703310966337313,0.23138782864184643,0.24253066488868988,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",kmer_logreg,False,auprc,0.7423222627664664,0.7164537400700567,0.7664028513414466,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",kmer_logreg,False,auroc,0.7546329999999999,0.7341088037659941,0.7736065255025316,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",kmer_logreg,False,ece,0.12934591978791762,0.11215079563180055,0.147733231353077,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",kmer_logreg,False,brier,0.22238698949177632,0.21013954079202893,0.23379278392339575,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",kmer_logreg,True,auprc,0.7423222627664664,0.7131790707387873,0.7699605593388537,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",kmer_logreg,True,auroc,0.7546329999999999,0.7321741221071969,0.7767230419506315,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",kmer_logreg,True,ece,0.05118695453163257,0.046402506002481955,0.07621096830470034,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",kmer_logreg,True,brier,0.20355950895267788,0.1949669184287887,0.21208148693694234,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",kmer_metadata_logreg,False,auprc,0.7434615000943735,0.7138119856826884,0.7749886833858743,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",kmer_metadata_logreg,False,auroc,0.755158,0.7357235426464255,0.7725949905877103,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",kmer_metadata_logreg,False,ece,0.13282895404037576,0.11970941820187712,0.15600540357469597,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",kmer_metadata_logreg,False,brier,0.22366122951391276,0.2132160799390933,0.23463522121845076,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",kmer_metadata_logreg,True,auprc,0.7434615000943735,0.7094742221280567,0.770742537748639,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",kmer_metadata_logreg,True,auroc,0.755158,0.7306140402672867,0.7721514539450534,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",kmer_metadata_logreg,True,ece,0.053637619037273467,0.04117892704524753,0.07639389169945811,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",kmer_metadata_logreg,True,brier,0.2036477958429326,0.19620598485127305,0.2138009379694205,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,False,auprc,0.7020841575571247,0.6668725145612339,0.727027187883672,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,False,auroc,0.7547559999999999,0.7356619469453917,0.7743674121684273,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,False,ece,0.19671006622820275,0.17966268769840826,0.21635951693995084,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,False,brier,0.2451057796855744,0.23484701344602685,0.25867556728290864,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,True,auprc,0.7020841575571247,0.67740239983071,0.7354080673946977,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,True,auroc,0.7547559999999999,0.7407942121809232,0.7747544476254409,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,True,ece,0.09245481303279458,0.07895198048865366,0.11251827864771106,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,True,brier,0.2091097701101496,0.20057886611398926,0.21516466433110631,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_cnn,False,auprc,0.7312494506314751,0.6978474137320057,0.7588938197098646,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_cnn,False,auroc,0.766629,0.7445610638276821,0.7887476645913943,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_cnn,False,ece,0.10755311267415531,0.09514717099775737,0.13281345369430198,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_cnn,False,brier,0.21076468908959203,0.19880914293397844,0.22358691275327344,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_cnn,True,auprc,0.7312494506314751,0.7060727419049865,0.765648273746712,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_cnn,True,auroc,0.766629,0.7504890771070882,0.7858551330192517,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_cnn,True,ece,0.031515315655988634,0.02713271371491051,0.059507612188986765,100,100,0.95
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_cnn,True,brier,0.19581735496386427,0.18734518524566152,0.20280563162800855,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,gc_artifact_logreg,False,auprc,0.7218000961945887,0.6927531766755716,0.7491388678612652,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,gc_artifact_logreg,False,auroc,0.7459574999999999,0.7228296849784932,0.7658330569101436,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,gc_artifact_logreg,False,ece,0.04794622023747517,0.038870076541047405,0.06899390907684462,100,100,0.95
