seed,split,model,calibrated,coverage,n,prevalence,brier,ece,auroc,auprc
17,lab_heldout_haib,tiny_cnn,True,0.8,1562.0,0.47759282970550576,0.22216884938900067,0.08593972148036662,0.712497700152447,0.6260511053048019
17,lab_heldout_haib,tiny_cnn,True,0.6,1171.0,0.43125533731853116,0.21350153251497503,0.0702572091725469,0.7232658400975233,0.5997064037818309
17,lab_heldout_haib,tiny_cnn,True,0.4,781.0,0.3713188220230474,0.2034503352175336,0.06723079839996163,0.734461689725402,0.5629123803857734
17,lab_heldout_haib,tiny_cnn,True,0.2,390.0,0.2846153846153846,0.18399893570580825,0.1104622513945201,0.7694791565759307,0.5320571707603824
17,lab_heldout_haib,axis_guard_no_cf,False,1.0,1952.0,0.5122950819672131,0.23185787935181354,0.10805548963205676,0.6802384453781513,0.6230311837174869
17,lab_heldout_haib,axis_guard_no_cf,False,0.8,1562.0,0.48079385403329067,0.22757467759840352,0.09983112926090497,0.6947727731705035,0.6083113645674428
17,lab_heldout_haib,axis_guard_no_cf,False,0.6,1171.0,0.44150298889837747,0.21966682411332755,0.09492162150910634,0.709187325135012,0.5871180518140482
17,lab_heldout_haib,axis_guard_no_cf,False,0.4,781.0,0.3700384122919334,0.2086121427608903,0.08579611798769839,0.7240343770219709,0.5444163693120547
17,lab_heldout_haib,axis_guard_no_cf,False,0.2,390.0,0.2692307692307692,0.17027552078065694,0.06792770103575328,0.755923141186299,0.48830456312254655
17,lab_heldout_haib,axis_guard_no_cf,True,1.0,1952.0,0.5122950819672131,0.23216444844728323,0.10850042579725429,0.6802384453781513,0.6230311837174869
17,lab_heldout_haib,axis_guard_no_cf,True,0.8,1562.0,0.4820742637644046,0.22777008730560105,0.10170407433286528,0.6952872482053656,0.6094510985895873
17,lab_heldout_haib,axis_guard_no_cf,True,0.6,1171.0,0.44321093082835183,0.22011703883562136,0.09742023580086322,0.709856732508245,0.588673398956742
17,lab_heldout_haib,axis_guard_no_cf,True,0.4,781.0,0.37516005121638923,0.2104232279929389,0.09013031747973792,0.7262700721759079,0.54943313099923
17,lab_heldout_haib,axis_guard_no_cf,True,0.2,390.0,0.2794871794871795,0.1713113817352624,0.06685890480861448,0.7617617290802834,0.5006882214725602
17,lab_heldout_haib,axis_guard_no_resid,False,1.0,1952.0,0.5122950819672131,0.23353831863023933,0.11673620376224458,0.679765756302521,0.6214520364186483
17,lab_heldout_haib,axis_guard_no_resid,False,0.8,1562.0,0.4833546734955186,0.22945907404164842,0.11333085683612068,0.6949046833583626,0.6081157529126431
17,lab_heldout_haib,axis_guard_no_resid,False,0.6,1171.0,0.4295473953885568,0.22160602056821302,0.09685779891965432,0.7028041332841276,0.5721895036515462
17,lab_heldout_haib,axis_guard_no_resid,False,0.4,781.0,0.3649167733674776,0.2122492965870303,0.09671856970949606,0.7203522920203735,0.5337241133859884
