split,model,calibrated,coverage,metric,mean,std,min,max,n_seeds
lab_heldout_haib,axis_guard_full,False,1.0,ece,0.15572683640093202,0.034534900680545114,0.11611731216377294,0.17952829181454258,3
lab_heldout_haib,axis_guard_full,False,1.0,brier,0.2419456122202568,0.015699650723458042,0.22393693320347252,0.25275124095900636,3
lab_heldout_haib,axis_guard_full,True,0.2,auprc,0.5580379985466023,0.1390785160638965,0.44971406875472986,0.7148755608665109,3
lab_heldout_haib,axis_guard_full,True,0.2,auroc,0.7455958372648291,0.057258306482411515,0.7079442661219726,0.8114884163757538,3
lab_heldout_haib,axis_guard_full,True,0.2,ece,0.09863745371211123,0.03303982433382331,0.06942767383397848,0.13449608594784565,3
lab_heldout_haib,axis_guard_full,True,0.2,brier,0.15959628684986565,0.013435700831413162,0.14941935245586968,0.1748257876029891,3
lab_heldout_haib,axis_guard_full,True,0.4,auprc,0.6827494177279391,0.06085863167707211,0.6406490518205199,0.752527851650174,3
lab_heldout_haib,axis_guard_full,True,0.4,auroc,0.7803143299352321,0.026224379070810412,0.7562047896621955,0.808236223582856,3
lab_heldout_haib,axis_guard_full,True,0.4,ece,0.10323290845248971,0.055656932646227064,0.043643576902119924,0.15387290525459127,3
lab_heldout_haib,axis_guard_full,True,0.4,brier,0.18960540991840835,0.02307738842688764,0.16619265067771996,0.2123321291505167,3
lab_heldout_haib,axis_guard_full,True,0.6,auprc,0.7090969882470503,0.03198499846720187,0.685328748380504,0.7454625952099474,3
lab_heldout_haib,axis_guard_full,True,0.6,auroc,0.7704552753678287,0.013299237804885516,0.7560758655744294,0.7823134014843859,3
lab_heldout_haib,axis_guard_full,True,0.6,ece,0.09565930592732319,0.05040882828033452,0.041858847286620544,0.141799674439837,3
lab_heldout_haib,axis_guard_full,True,0.6,brier,0.20484866301516116,0.018937799906766913,0.18600599977726245,0.2238801869779763,3
lab_heldout_haib,axis_guard_full,True,0.8,auprc,0.7053441315982633,0.020762352852418158,0.6920315448004765,0.7292676358469686,3
lab_heldout_haib,axis_guard_full,True,0.8,auroc,0.7479623679832805,0.009281189405698161,0.7387402024498799,0.7573014761243165,3
lab_heldout_haib,axis_guard_full,True,0.8,ece,0.0909064380718491,0.04542909172650818,0.04017221590439034,0.12782047086193363,3
lab_heldout_haib,axis_guard_full,True,0.8,brier,0.21606123767873678,0.01480282663376431,0.20004184753771634,0.2292340743298755,3
lab_heldout_haib,axis_guard_full,True,1.0,auprc,0.6993205856135352,0.011550673463844755,0.6925714783246114,0.7126578306900506,3
lab_heldout_haib,axis_guard_full,True,1.0,auroc,0.7262478991596638,0.007155173745278201,0.7198834033613445,0.7339926470588235,3
lab_heldout_haib,axis_guard_full,True,1.0,ece,0.09042142118276501,0.04662612301639538,0.03793302705093057,0.12704452515817616,3
lab_heldout_haib,axis_guard_full,True,1.0,brier,0.2228248213167602,0.012301642715503231,0.20954084313460833,0.23382368500345838,3
lab_heldout_haib,tiny_cnn,False,0.2,auprc,0.546936193658469,0.1352381337608259,0.3935511224264468,0.6490082045541553,3
lab_heldout_haib,tiny_cnn,False,0.2,auroc,0.75253348107148,0.06124823472469279,0.6844021164021165,0.8030288352868998,3
lab_heldout_haib,tiny_cnn,False,0.2,ece,0.08033266352632872,0.010632723932400905,0.06961304716622599,0.09087631073183355,3
lab_heldout_haib,tiny_cnn,False,0.2,brier,0.1451530203619029,0.0018479099386468699,0.14328239704981385,0.14697734689946046,3
lab_heldout_haib,tiny_cnn,False,0.4,auprc,0.6269282227935132,0.038922031489756974,0.5885641939843946,0.6663852342496006,3
lab_heldout_haib,tiny_cnn,False,0.4,auroc,0.7686896629797865,0.016640882648617704,0.7536344484453675,0.7865576939238591,3
lab_heldout_haib,tiny_cnn,False,0.4,ece,0.11063396797057938,0.013670758551813439,0.10160293713064146,0.1263619764611392,3
lab_heldout_haib,tiny_cnn,False,0.4,brier,0.19159620536439173,0.005239022124928647,0.18640782782365134,0.19688444437492958,3
lab_heldout_haib,tiny_cnn,False,0.6,auprc,0.6625502311857904,0.01127492755799993,0.6500074366258191,0.6718436674972765,3
lab_heldout_haib,tiny_cnn,False,0.6,auroc,0.7598965398307497,0.0043001596032211115,0.7559273999035214,0.7644648703853894,3
lab_heldout_haib,tiny_cnn,False,0.6,ece,0.11786909489591525,0.018851178509305396,0.10485628515443772,0.13948731693613362,3
lab_heldout_haib,tiny_cnn,False,0.6,brier,0.21116482628338626,0.007498765510961192,0.20378595009452755,0.21877799013664503,3
lab_heldout_haib,tiny_cnn,False,0.8,auprc,0.6927164912495796,0.003951141573991587,0.689877269491048,0.6972289381400388,3
lab_heldout_haib,tiny_cnn,False,0.8,auroc,0.7538191376722457,0.0071452719447685775,0.7460585363933394,0.7601252808472059,3
lab_heldout_haib,tiny_cnn,False,0.8,ece,0.135462885136218,0.018011643265083085,0.12290242190142464,0.1560991386818567,3
lab_heldout_haib,tiny_cnn,False,0.8,brier,0.2227096298346782,0.006298943878442234,0.21837390397040046,0.22993494320217872,3
lab_heldout_haib,tiny_cnn,False,1.0,auprc,0.6954547080744161,0.006019540387605169,0.6885150146036347,0.6992641978234341,3
lab_heldout_haib,tiny_cnn,False,1.0,auroc,0.7338473389355742,0.007595519330362582,0.725077731092437,0.7383434873949579,3
lab_heldout_haib,tiny_cnn,False,1.0,ece,0.1360534041877607,0.020614569508872752,0.11860132484446799,0.158798330084165,3
lab_heldout_haib,tiny_cnn,False,1.0,brier,0.2284968357164271,0.005800212460812926,0.22466003937245346,0.23516935946013817,3
lab_heldout_haib,tiny_cnn,True,0.2,auprc,0.6620361895572008,0.02645591704274536,0.6446926390765533,0.6924867730550153,3
lab_heldout_haib,tiny_cnn,True,0.2,auroc,0.8145794425333058,0.01366564533743454,0.7994123155413477,0.8259337561663143,3
lab_heldout_haib,tiny_cnn,True,0.2,ece,0.07596671014100727,0.011246656998858623,0.06927276657274514,0.08895114182278083,3
lab_heldout_haib,tiny_cnn,True,0.2,brier,0.14850272893749822,0.004122822180304629,0.14432457164633516,0.1525678930994827,3
lab_heldout_haib,tiny_cnn,True,0.4,auprc,0.6814100787779669,0.0068787332748971135,0.6751153718840691,0.6887526044868275,3
lab_heldout_haib,tiny_cnn,True,0.4,auroc,0.7979366909222129,0.007748399922813033,0.7929875983353841,0.8068662789110075,3
lab_heldout_haib,tiny_cnn,True,0.4,ece,0.07367736851409104,0.02303743321439072,0.05704866610281155,0.09997332201750568,3
lab_heldout_haib,tiny_cnn,True,0.4,brier,0.17570724926991,0.009201219171162478,0.16957121918061904,0.18628687434791416,3
lab_heldout_haib,tiny_cnn,True,0.6,auprc,0.6948803362120012,0.010135594678842064,0.6853389317462018,0.7055205767665058,3
lab_heldout_haib,tiny_cnn,True,0.6,auroc,0.7787012992449914,0.010955017020371747,0.7669145922772056,0.7885717813486672,3
lab_heldout_haib,tiny_cnn,True,0.6,ece,0.08600326043467053,0.020855602126285695,0.07225715672903862,0.11000055284686434,3
lab_heldout_haib,tiny_cnn,True,0.6,brier,0.19699183643751803,0.00851630617023754,0.19204100293446852,0.20682554147532498,3
lab_heldout_haib,tiny_cnn,True,0.8,auprc,0.6956017407707792,0.002535799129048925,0.6926750182676554,0.6971425537180446,3
lab_heldout_haib,tiny_cnn,True,0.8,auroc,0.7556022217119246,0.006883121973146942,0.7476734823725807,0.7600448041624512,3
lab_heldout_haib,tiny_cnn,True,0.8,ece,0.08777212876130898,0.023024377725462973,0.07128536188749116,0.11407823231953637,3
lab_heldout_haib,tiny_cnn,True,0.8,brier,0.20884680028270167,0.005620389429759642,0.20515395896247793,0.21531501383950308,3
lab_heldout_haib,tiny_cnn,True,1.0,auprc,0.6954547080744161,0.006019540387605169,0.6885150146036347,0.6992641978234341,3
lab_heldout_haib,tiny_cnn,True,1.0,auroc,0.7338473389355742,0.007595519330362582,0.725077731092437,0.7383434873949579,3
lab_heldout_haib,tiny_cnn,True,1.0,ece,0.09540730270835186,0.01208103641345807,0.08575661602370961,0.10895615599274627,3
lab_heldout_haib,tiny_cnn,True,1.0,brier,0.21718927722376266,0.004347967144962795,0.21395515646880975,0.22213202031317406,3
