seed,split,split_type,holdout,model,calibrated,n,prevalence,brier,ece,auroc,auprc,worst_group_auprc
17,lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,False,1952.0,0.5122950819672131,0.2289351738972016,0.1093384923230185,0.6985483193277311,0.641642927762428,0.6370321064980219
17,lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,True,1952.0,0.5122950819672131,0.22825167615263622,0.09995141654203668,0.6985483193277311,0.641642927762428,0.6370321064980219
17,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_cf,False,1952.0,0.5122950819672131,0.23185787935181354,0.10805548963205676,0.6802384453781513,0.6230311837174869,0.6201199334745597
17,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_cf,True,1952.0,0.5122950819672131,0.2321644484472832,0.10850042579725429,0.6802384453781513,0.6230311837174869,0.6201199334745597
17,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_resid,False,1952.0,0.5122950819672131,0.23353831863023933,0.11673620376224458,0.679765756302521,0.6214520364186483,0.6190470901182861
17,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_resid,True,1952.0,0.5122950819672131,0.23205221971110165,0.10757773752319735,0.679765756302521,0.6214520364186483,0.6190470901182861
17,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_adv,False,1952.0,0.5122950819672131,0.23312380889856602,0.11437147679227236,0.6802710084033614,0.6219780380617921,0.6194978391142538
17,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_adv,True,1952.0,0.5122950819672131,0.23274188921445899,0.1137074981846708,0.6802710084033614,0.6219780380617921,0.6194978391142538
17,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,False,1952.0,0.5122950819672131,0.23350354407198656,0.11625230888889525,0.6805913865546218,0.6225352744374397,0.6198972733968735
17,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,True,1952.0,0.5122950819672131,0.23259400999708857,0.11740014559887745,0.6805913865546218,0.6225352744374397,0.6198972733968735
23,lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,False,1952.0,0.5122950819672131,0.22626902347488845,0.08448380814315601,0.6939978991596638,0.6437441249838567,0.6353925721392691
23,lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,True,1952.0,0.5122950819672131,0.2306061108159571,0.10724762988035474,0.6939978991596638,0.6437441249838567,0.6353925721392691
23,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_cf,False,1952.0,0.5122950819672131,0.25079241614822106,0.16075777033817204,0.6813245798319327,0.6258339485201689,0.6235879698448541
23,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_cf,True,1952.0,0.5122950819672131,0.24362510821193978,0.14513115900190438,0.6813245798319327,0.6258339485201689,0.6235879698448541
23,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_resid,False,1952.0,0.5122950819672131,0.24804065727578803,0.15563255475956153,0.6796239495798319,0.6230532548684328,0.6195257779136665
23,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_resid,True,1952.0,0.5122950819672131,0.2423369534322845,0.14064685645439995,0.6796239495798319,0.6230532548684328,0.6195257779136665
23,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_adv,False,1952.0,0.5122950819672131,0.24598482866513824,0.14949973606214415,0.6803844537815127,0.6245958565008383,0.621357179454401
23,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_adv,True,1952.0,0.5122950819672131,0.2422220348549115,0.13862017540291682,0.6803844537815127,0.6245958565008383,0.621357179454401
23,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,False,1952.0,0.5122950819672131,0.2494333335352684,0.15752208461702544,0.6800966386554621,0.6242411103674825,0.621063937753164
23,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,True,1952.0,0.5122950819672131,0.24269905211241208,0.1412546691779556,0.6800966386554621,0.6242411103674825,0.621063937753164
