split,model,calibrated,coverage,n,prevalence,brier,ece,auroc,auprc
lab_heldout_haib,tiny_cnn,False,0.8,1600.0,0.455625,0.24324120424855764,0.19969708278662437,0.7687834962572386,0.6875531654390479
lab_heldout_haib,tiny_cnn,False,0.6,1200.0,0.37833333333333335,0.2332917013484238,0.19064067878920465,0.762693247983371,0.632925165544943
lab_heldout_haib,tiny_cnn,False,0.4,800.0,0.275,0.20039679859055157,0.1673017333611642,0.7353605015673981,0.526725830559442
lab_heldout_haib,tiny_cnn,False,0.2,400.0,0.1825,0.13217559752838934,0.1097513461440394,0.75803275941519,0.4854474021235874
lab_heldout_haib,tiny_cnn,True,1.0,2000.0,0.5,0.2091097701101496,0.09245481303279461,0.7547559999999999,0.7020841575571247
lab_heldout_haib,tiny_cnn,True,0.8,1600.0,0.466875,0.19869465694949418,0.08242987409368192,0.7770448735151627,0.7010817381223162
lab_heldout_haib,tiny_cnn,True,0.6,1200.0,0.41833333333333333,0.18235026770068818,0.07221621419774879,0.794167170858115,0.6886785295211904
lab_heldout_haib,tiny_cnn,True,0.4,800.0,0.3625,0.16526671915472801,0.06730719096570795,0.8110344827586207,0.6697084245229175
lab_heldout_haib,tiny_cnn,True,0.2,400.0,0.27,0.13713948603048798,0.06847697529338476,0.840658295281583,0.654883058173718
lab_heldout_haib,axis_guard_cnn,False,1.0,2000.0,0.5,0.210764689089592,0.10755311267415531,0.766629,0.7312494506314751
lab_heldout_haib,axis_guard_cnn,False,0.8,1600.0,0.5125,0.2015438448418427,0.12082765710030802,0.7847373358348968,0.750803223522932
lab_heldout_haib,axis_guard_cnn,False,0.6,1200.0,0.53,0.1876214875086276,0.12702947454468816,0.800225255363754,0.7705912843493652
lab_heldout_haib,axis_guard_cnn,False,0.4,800.0,0.54375,0.17361795567321003,0.1312705555922003,0.8127916863486064,0.7879779756847848
lab_heldout_haib,axis_guard_cnn,False,0.2,400.0,0.4875,0.14614912505145516,0.12080101802770517,0.8641400875547217,0.8057612344254744
lab_heldout_haib,axis_guard_cnn,True,1.0,2000.0,0.5,0.19581735496386427,0.03151531565598862,0.766629,0.7312494506314751
lab_heldout_haib,axis_guard_cnn,True,0.8,1600.0,0.49,0.18243705131304416,0.030783660642958163,0.7944490296118446,0.7484447488588255
lab_heldout_haib,axis_guard_cnn,True,0.6,1200.0,0.48,0.1643955881605935,0.03309336130946874,0.8183454638532764,0.7643791803615017
lab_heldout_haib,axis_guard_cnn,True,0.4,800.0,0.4375,0.14692028453348027,0.03276082005051546,0.8464888888888888,0.7756188436148211
lab_heldout_haib,axis_guard_cnn,True,0.2,400.0,0.3475,0.11514291545501898,0.036811932612181526,0.8657625623639019,0.7670691420258595
family_heldout_zinc_finger,gc_artifact_logreg,False,1.0,2000.0,0.5,0.20666138159671385,0.0479462202374752,0.7459574999999999,0.7218000961945887
family_heldout_zinc_finger,gc_artifact_logreg,False,0.8,1600.0,0.50375,0.1964910674354189,0.05269115490042594,0.7755983149052135,0.7456433059310629
family_heldout_zinc_finger,gc_artifact_logreg,False,0.6,1200.0,0.5225,0.17907312673219966,0.04916722816501497,0.802179969994795,0.7729285103457313
family_heldout_zinc_finger,gc_artifact_logreg,False,0.4,800.0,0.5725,0.15999113751207272,0.04223986845824003,0.8059513777164892,0.797450934863432
family_heldout_zinc_finger,gc_artifact_logreg,False,0.2,400.0,0.65,0.14625394320880647,0.025926200743713483,0.7771153846153847,0.8187999304213707
family_heldout_zinc_finger,gc_artifact_logreg,True,1.0,2000.0,0.5,0.20643443105489173,0.05301479817964286,0.7459574999999999,0.7218000961945887
family_heldout_zinc_finger,gc_artifact_logreg,True,0.8,1600.0,0.503125,0.1958146426373671,0.05803357409831782,0.7758037423336849,0.7455369211987846
family_heldout_zinc_finger,gc_artifact_logreg,True,0.6,1200.0,0.5275,0.17915626438024512,0.05517233918531578,0.8001760882224284,0.773481254293196
family_heldout_zinc_finger,gc_artifact_logreg,True,0.4,800.0,0.57375,0.16026377213158097,0.054150820395202096,0.8052057577674276,0.7974991496534666
family_heldout_zinc_finger,gc_artifact_logreg,True,0.2,400.0,0.6525,0.14289131446853345,0.05536144452565366,0.7750489263761405,0.8190979696014742
family_heldout_zinc_finger,kmer_logreg,False,1.0,2000.0,0.5,0.23444196671157622,0.15100279710274503,0.735458,0.7320517682607338
family_heldout_zinc_finger,kmer_logreg,False,0.8,1600.0,0.50375,0.23139400883026817,0.17407256523147238,0.7593692770218325,0.7544069492932264
family_heldout_zinc_finger,kmer_logreg,False,0.6,1200.0,0.49583333333333335,0.22459929210398802,0.19166375507139116,0.7855767761650114,0.775623209199588
family_heldout_zinc_finger,kmer_logreg,False,0.4,800.0,0.48875,0.1977641765554817,0.17883313346782564,0.8186144235519233,0.8037388414120099
family_heldout_zinc_finger,kmer_logreg,False,0.2,400.0,0.4575,0.1709879029831676,0.1649026533517296,0.8549016645262018,0.8306527069121068
family_heldout_zinc_finger,kmer_logreg,True,1.0,2000.0,0.5,0.21022439949692295,0.0525541583119938,0.735458,0.7320517682607338
family_heldout_zinc_finger,kmer_logreg,True,0.8,1600.0,0.50625,0.2010608706611952,0.05836489551506122,0.7599249882794187,0.7556652944099566
family_heldout_zinc_finger,kmer_logreg,True,0.6,1200.0,0.49833333333333335,0.18901814276729867,0.06355020530577123,0.7861726241402682,0.7768445057118025
family_heldout_zinc_finger,kmer_logreg,True,0.4,800.0,0.49625,0.16737259648038474,0.07098022859409149,0.8209086761130313,0.8076836526957162
family_heldout_zinc_finger,kmer_logreg,True,0.2,400.0,0.46,0.1442277380913987,0.0733903687332523,0.8555756843800323,0.8317929361066445
family_heldout_zinc_finger,kmer_metadata_logreg,False,1.0,2000.0,0.5,0.2348872230399474,0.15218074338995344,0.736097,0.7334928835737466
family_heldout_zinc_finger,kmer_metadata_logreg,False,0.8,1600.0,0.5025,0.23370061686682905,0.17979063608302367,0.7597658691467286,0.7553376233650237
family_heldout_zinc_finger,kmer_metadata_logreg,False,0.6,1200.0,0.4891666666666667,0.22551963028995364,0.19346653043557804,0.784837882228046,0.7743097225449531
family_heldout_zinc_finger,kmer_metadata_logreg,False,0.4,800.0,0.4825,0.20132412145367026,0.18334722005504345,0.8176829115666692,0.8027272229778788
family_heldout_zinc_finger,kmer_metadata_logreg,False,0.2,400.0,0.4425,0.16874924996845267,0.16268627818867365,0.8521699475564338,0.8260955209619436
family_heldout_zinc_finger,kmer_metadata_logreg,True,1.0,2000.0,0.5,0.21031463428631295,0.05596509007336284,0.736097,0.7334928835737466
family_heldout_zinc_finger,kmer_metadata_logreg,True,0.8,1600.0,0.50375,0.20221952531286314,0.06494351522704575,0.7601411954422437,0.756042532298482
family_heldout_zinc_finger,kmer_metadata_logreg,True,0.6,1200.0,0.49333333333333335,0.19016723559205853,0.06710431904910746,0.786095305832148,0.7765553220859781
family_heldout_zinc_finger,kmer_metadata_logreg,True,0.4,800.0,0.48375,0.16890732536928696,0.06748095859272725,0.8181078764444946,0.8034215536627477
family_heldout_zinc_finger,kmer_metadata_logreg,True,0.2,400.0,0.45,0.14602967028767594,0.07754462119801023,0.8550000000000001,0.8304429367001889
family_heldout_zinc_finger,tiny_cnn,False,1.0,2000.0,0.5,0.18012352550576263,0.035522938112728296,0.8063779999999999,0.7844943764965129
family_heldout_zinc_finger,tiny_cnn,False,0.8,1600.0,0.5075,0.16459591922354158,0.03521517078741452,0.829744505013628,0.8069878951004856
family_heldout_zinc_finger,tiny_cnn,False,0.6,1200.0,0.5083333333333333,0.14630945126773467,0.043653448837188386,0.8535732147818837,0.8287517447514123
family_heldout_zinc_finger,tiny_cnn,False,0.4,800.0,0.5075,0.12292419460289178,0.04113314059330149,0.8787539696431698,0.8518826964908055
family_heldout_zinc_finger,tiny_cnn,False,0.2,400.0,0.4575,0.10544327568890473,0.05284772034268823,0.8992470600085618,0.8603061883483883
family_heldout_zinc_finger,tiny_cnn,True,1.0,2000.0,0.5,0.17970179047204982,0.028925947629507637,0.8063779999999999,0.7844943764965129
family_heldout_zinc_finger,tiny_cnn,True,0.8,1600.0,0.50125,0.16405273831595388,0.031838814201559484,0.8307020668879179,0.8058755518793985
family_heldout_zinc_finger,tiny_cnn,True,0.6,1200.0,0.5041666666666667,0.145020130753983,0.03686709019575053,0.8544537815126051,0.8283029344338556
family_heldout_zinc_finger,tiny_cnn,True,0.4,800.0,0.49625,0.12098284700273368,0.036381683329373055,0.8803495196604809,0.8505554059907618
family_heldout_zinc_finger,tiny_cnn,True,0.2,400.0,0.4275,0.10334078273609673,0.049124284791618136,0.897852345565515,0.8534975466742807
family_heldout_zinc_finger,axis_guard_cnn,False,1.0,2000.0,0.5,0.1874449862022679,0.09081008313439816,0.804919,0.7667785587648343
family_heldout_zinc_finger,axis_guard_cnn,False,0.8,1600.0,0.509375,0.17209799486656174,0.09867788763521275,0.8272564573482866,0.7863383864480382
family_heldout_zinc_finger,axis_guard_cnn,False,0.6,1200.0,0.51,0.15107863374660013,0.08983224334555415,0.8468442932728646,0.8007136581641615
family_heldout_zinc_finger,axis_guard_cnn,False,0.4,800.0,0.48375,0.12917906660466597,0.0832374375926338,0.8654578898962029,0.80548042685671
family_heldout_zinc_finger,axis_guard_cnn,False,0.2,400.0,0.3475,0.12771702340819588,0.10394437029175604,0.874252322280107,0.7669214651989853
family_heldout_zinc_finger,axis_guard_cnn,True,1.0,2000.0,0.5,0.1789903744297373,0.02363317970848747,0.804919,0.7667785587648343
family_heldout_zinc_finger,axis_guard_cnn,True,0.8,1600.0,0.505,0.1617890536855785,0.019255312580938592,0.8286453645364537,0.7858249649470539
family_heldout_zinc_finger,axis_guard_cnn,True,0.6,1200.0,0.49,0.14487004646655924,0.02175708939762324,0.8512154861944776,0.7975464703022923
family_heldout_zinc_finger,axis_guard_cnn,True,0.4,800.0,0.41625,0.12096121945855115,0.01960483936068883,0.868170097292153,0.7876703623989346
family_heldout_zinc_finger,axis_guard_cnn,True,0.2,400.0,0.2325,0.10052237736623215,0.03925802524701098,0.8244194599138384,0.674241628113817
