split,model,calibrated,coverage,n,prevalence,brier,ece,auroc,auprc
lab_heldout_henikoff,kmer_metadata_logreg,False,0.2,276.0,0.37318840579710144,0.5905523436006157,0.5905555659943126,0.2877265839833886,0.2693135130208785
lab_heldout_henikoff,kmer_metadata_logreg,True,1.0,1381.0,0.18971759594496743,0.2607198972591897,0.28059870667387093,0.2693346704050099,0.12516010532616956
lab_heldout_henikoff,kmer_metadata_logreg,True,0.8,1105.0,0.2153846153846154,0.26351687488831205,0.24988871033355237,0.27688445620462715,0.14436869284876863
lab_heldout_henikoff,kmer_metadata_logreg,True,0.6,829.0,0.25934861278648974,0.27500328072963365,0.22350893371468866,0.31240057571396107,0.1872349945827456
lab_heldout_henikoff,kmer_metadata_logreg,True,0.4,552.0,0.3115942028985507,0.30772424222422307,0.269500392079573,0.3145654834761322,0.22794709029763754
lab_heldout_henikoff,kmer_metadata_logreg,True,0.2,276.0,0.4420289855072464,0.41295552189448786,0.4036965810184447,0.4088247817756014,0.40002635706216705
species_heldout_mouse,gc_artifact_logreg,False,1.0,1323.0,0.21239606953892667,0.1804348169379823,0.20399251673963487,0.7485963210633807,0.5787241024994307
species_heldout_mouse,gc_artifact_logreg,False,0.8,1058.0,0.23724007561436672,0.16228832665466206,0.1570850889294587,0.7791609275413834,0.6258655874339535
species_heldout_mouse,gc_artifact_logreg,False,0.6,794.0,0.2367758186397985,0.13511707726101016,0.12088774310523898,0.8032924303068605,0.677517611600179
species_heldout_mouse,gc_artifact_logreg,False,0.4,529.0,0.20226843100189035,0.10788701361551473,0.11750027976418097,0.7991097134251671,0.6870858999061952
species_heldout_mouse,gc_artifact_logreg,False,0.2,265.0,0.16981132075471697,0.08362499129779288,0.11245874024652887,0.7701010101010102,0.6766090766087901
species_heldout_mouse,gc_artifact_logreg,True,1.0,1323.0,0.21239606953892667,0.1400138084559241,0.0925102938141784,0.7485963210633807,0.5787241024994307
species_heldout_mouse,gc_artifact_logreg,True,0.8,1058.0,0.12287334593572778,0.11102937019012812,0.06532894804864564,0.5516329575596817,0.1495308611505558
species_heldout_mouse,gc_artifact_logreg,True,0.6,794.0,0.11964735516372796,0.1083006343849738,0.061559498435606826,0.5609592651155786,0.13450846466123667
species_heldout_mouse,gc_artifact_logreg,True,0.4,529.0,0.11342155009451796,0.10450330082989938,0.0682489713237062,0.5909203980099502,0.1511106494864611
species_heldout_mouse,gc_artifact_logreg,True,0.2,265.0,0.0830188679245283,0.07874827870625661,0.05021969431307733,0.4832585110362888,0.07983542005666891
species_heldout_mouse,kmer_logreg,False,1.0,1323.0,0.21239606953892667,0.1943163945944218,0.17686646618421642,0.7325496410543645,0.4997384743301836
species_heldout_mouse,kmer_logreg,False,0.8,1058.0,0.20415879017013233,0.18243635811675848,0.16091006717611406,0.7463490806721211,0.5284442395397587
species_heldout_mouse,kmer_logreg,False,0.6,794.0,0.18639798488664988,0.1622728704845325,0.15358044031527954,0.7526253033218977,0.5566578684096789
species_heldout_mouse,kmer_logreg,False,0.4,529.0,0.17958412098298676,0.12323036466983082,0.1199972883729315,0.7810574824157168,0.6215162391726761
species_heldout_mouse,kmer_logreg,False,0.2,265.0,0.17358490566037735,0.07906337400739995,0.07842928813081523,0.8472304943418701,0.7403043700385878
species_heldout_mouse,kmer_logreg,True,1.0,1323.0,0.21239606953892667,0.14243446865563816,0.048112091578526216,0.7325496410543645,0.4997384743301836
