split,model,calibrated,group_col,group,n,prevalence,brier,ece,auroc,auprc
lab_heldout_richard_myers__haib,gc_artifact_logreg,False,tf_family,ets,1000.0,0.5,0.23707211085863902,0.1007748579071662,0.66245,0.5909336529097182
lab_heldout_richard_myers__haib,gc_artifact_logreg,False,tf_family,gata,1000.0,0.5,0.23779963370486165,0.13007089601784405,0.6693580000000001,0.5881978915713573
lab_heldout_richard_myers__haib,gc_artifact_logreg,False,negative_strategy,gc_accessibility,2000.0,0.5,0.23743587228175034,0.11519409656831643,0.6660375,0.5884823539873894
lab_heldout_richard_myers__haib,gc_artifact_logreg,True,assay,TF ChIP-seq,2000.0,0.5,0.23703310966337313,0.11583874749764665,0.6660375,0.5884823539873894
lab_heldout_richard_myers__haib,gc_artifact_logreg,True,lab,"Richard Myers, HAIB",2000.0,0.5,0.23703310966337313,0.11583874749764665,0.6660375,0.5884823539873894
lab_heldout_richard_myers__haib,gc_artifact_logreg,True,species,Homo sapiens,2000.0,0.5,0.23703310966337313,0.11583874749764665,0.6660375,0.5884823539873894
lab_heldout_richard_myers__haib,gc_artifact_logreg,True,tf,GATA2,1000.0,0.5,0.2376469408994884,0.12870144403414993,0.6693580000000001,0.5881978915713573
lab_heldout_richard_myers__haib,gc_artifact_logreg,True,tf,SPI1,1000.0,0.5,0.23641927842725782,0.10573568800823546,0.66245,0.5909336529097182
lab_heldout_richard_myers__haib,gc_artifact_logreg,True,tf_family,ets,1000.0,0.5,0.23641927842725782,0.10573568800823546,0.66245,0.5909336529097182
lab_heldout_richard_myers__haib,gc_artifact_logreg,True,tf_family,gata,1000.0,0.5,0.2376469408994884,0.12870144403414993,0.6693580000000001,0.5881978915713573
lab_heldout_richard_myers__haib,gc_artifact_logreg,True,negative_strategy,gc_accessibility,2000.0,0.5,0.23703310966337313,0.11583874749764665,0.6660375,0.5884823539873894
lab_heldout_richard_myers__haib,kmer_logreg,False,assay,TF ChIP-seq,2000.0,0.5,0.22238698949177632,0.12934591978791762,0.7546329999999999,0.7423222627664664
lab_heldout_richard_myers__haib,kmer_logreg,False,lab,"Richard Myers, HAIB",2000.0,0.5,0.22238698949177632,0.12934591978791762,0.7546329999999999,0.7423222627664664
lab_heldout_richard_myers__haib,kmer_logreg,False,species,Homo sapiens,2000.0,0.5,0.22238698949177632,0.12934591978791762,0.7546329999999999,0.7423222627664664
lab_heldout_richard_myers__haib,kmer_logreg,False,tf,GATA2,1000.0,0.5,0.20600235560201455,0.11484221462907286,0.77942,0.7692211279534156
lab_heldout_richard_myers__haib,kmer_logreg,False,tf,SPI1,1000.0,0.5,0.23877162338153807,0.1457160699305566,0.729732,0.713293374477475
lab_heldout_richard_myers__haib,kmer_logreg,False,tf_family,ets,1000.0,0.5,0.23877162338153807,0.1457160699305566,0.729732,0.713293374477475
lab_heldout_richard_myers__haib,kmer_logreg,False,tf_family,gata,1000.0,0.5,0.20600235560201455,0.11484221462907286,0.77942,0.7692211279534156
lab_heldout_richard_myers__haib,kmer_logreg,False,negative_strategy,gc_accessibility,2000.0,0.5,0.22238698949177632,0.12934591978791762,0.7546329999999999,0.7423222627664664
lab_heldout_richard_myers__haib,kmer_logreg,True,assay,TF ChIP-seq,2000.0,0.5,0.20355950895267788,0.05118695453163257,0.7546329999999999,0.7423222627664664
lab_heldout_richard_myers__haib,kmer_logreg,True,lab,"Richard Myers, HAIB",2000.0,0.5,0.20355950895267788,0.05118695453163257,0.7546329999999999,0.7423222627664664
lab_heldout_richard_myers__haib,kmer_logreg,True,species,Homo sapiens,2000.0,0.5,0.20355950895267788,0.05118695453163257,0.7546329999999999,0.7423222627664664
lab_heldout_richard_myers__haib,kmer_logreg,True,tf,GATA2,1000.0,0.5,0.192318975608983,0.043291942476364434,0.77942,0.7692211279534156
lab_heldout_richard_myers__haib,kmer_logreg,True,tf,SPI1,1000.0,0.5,0.21480004229637273,0.07155735360411765,0.729732,0.713293374477475
lab_heldout_richard_myers__haib,kmer_logreg,True,tf_family,ets,1000.0,0.5,0.21480004229637273,0.07155735360411765,0.729732,0.713293374477475
lab_heldout_richard_myers__haib,kmer_logreg,True,tf_family,gata,1000.0,0.5,0.192318975608983,0.043291942476364434,0.77942,0.7692211279534156
lab_heldout_richard_myers__haib,kmer_logreg,True,negative_strategy,gc_accessibility,2000.0,0.5,0.20355950895267788,0.05118695453163257,0.7546329999999999,0.7423222627664664
lab_heldout_richard_myers__haib,kmer_metadata_logreg,False,assay,TF ChIP-seq,2000.0,0.5,0.22366122951391276,0.13282895404037576,0.755158,0.7434615000943735
lab_heldout_richard_myers__haib,kmer_metadata_logreg,False,lab,"Richard Myers, HAIB",2000.0,0.5,0.22366122951391276,0.13282895404037576,0.755158,0.7434615000943735
lab_heldout_richard_myers__haib,kmer_metadata_logreg,False,species,Homo sapiens,2000.0,0.5,0.22366122951391276,0.13282895404037576,0.755158,0.7434615000943735
lab_heldout_richard_myers__haib,kmer_metadata_logreg,False,tf,GATA2,1000.0,0.5,0.2067094013803614,0.11834267169009575,0.7806799999999998,0.7704294255089456
lab_heldout_richard_myers__haib,kmer_metadata_logreg,False,tf,SPI1,1000.0,0.5,0.24061305764746413,0.16171597187882392,0.7293799999999999,0.7140062413762487
lab_heldout_richard_myers__haib,kmer_metadata_logreg,False,tf_family,ets,1000.0,0.5,0.24061305764746413,0.16171597187882392,0.7293799999999999,0.7140062413762487
lab_heldout_richard_myers__haib,kmer_metadata_logreg,False,tf_family,gata,1000.0,0.5,0.2067094013803614,0.11834267169009575,0.7806799999999998,0.7704294255089456
